Código,Nombre común,Nombre científico,Tipo de planta
CACI,Limpiatubos o escobillón rojo. sin: laevis,Callistemon citrinus,ARBUSTO
ERCO,Colorín,Erythrina coralloides,SUBTROPICAL/TROPICAL
PTST,Fresno chino o nuez china,Pterocarya stenoptera,FRONDOSA
TYLA,Tótora o espadaña,Typha laxmannii,HERB_PERENNES
CAMU,Marcieguilla,Carex muricata,HERB_PERENNES
RUSP,Esterilla,Ruschia sp,CACTACEA/SUCULENTA
SUVW,Lilo,Syringa vulgaris 'Pamiec o Wawilowie',ARBUSTO
LLOT,Estera de cabeza espinosa,Lomandra longifolia 'Tanika',HERB_PERENNES
STLU,Azucena amarilla,Sternbergia lutea,HERB_ANUAL
QUCO,Roble escarlata,Quercus coccinea,FRONDOSA
LAAD,Laburno de Adam,Laburnocytisus adamii,ARBUSTO
ACBA,Acacia de Cootamundra,Acacia baileyana,FRONDOSA
ABAP,Acacia de Cootamundra púrpura/Acacia baileyana 'Purpurea',Acacia baileyana 'Purpurea',FRONDOSA
ACAC,Moscón,Acer campestre 'Compactum',FRONDOSA
ACAE,Moscón,Acer campestre 'Eco Sentry',FRONDOSA
QFU,Robledilla/Quercus fruticosa,Quercus lusitanica,FRONDOSA
ACAL,Moscón,Acer campestre 'Lienco',FRONDOSA
ACAQ,Moscón,Acer campestre 'Queen Elizabeth',FRONDOSA
ACAR,Moscón,Acer campestre 'Red Shine',FRONDOSA
ANEE,Arce negundo,Acer negundo 'Elegans',FRONDOSA
ANEF,Arce negundo,Acer negundo 'Flamingo',FRONDOSA
APLC,Arce real,Acer platanoides 'Columnare',FRONDOSA
APLD,Arce real,Acer platanoides 'Deborah',FRONDOSA
APLR,Arce real,Acer platanoides 'Drummondii',FRONDOSA
APLG,Arce real,Acer platanoides 'Globosum',FRONDOSA
APLS,Are real,Acer platanoides 'Schwedleri',FRONDOSA
APSA,Falso plátano,Acer pseudoplatanus 'Atropurpureum',FRONDOSA
APSB,Falso plátano,Acer pseudoplatanus 'Brillantissimum',FRONDOSA
AFRA,Arce de Freeman,Acer x freemanii 'Armstrong',FRONDOSA
ACAB,Castaño de indias rojo,Aesculus x carnea 'Briotii',FRONDOSA
AJUO,Acacia de Constantinopla,Albizia julibrissin 'Ombrella',FRONDOSA
AJUS,Acacia de Constantinopla,Albizia julibrissin 'Summer Chocolate',FRONDOSA
AGLI,Aliso común,Alnus glutinosa 'Imperalis',FRONDOSA
AINL,Aliso blanco de hoja lobulada,Alnus incana 'Laciniata',FRONDOSA
ALJA,Aliso japonés,Alnus japonica,FRONDOSA
ASPS,Aliso híbrido,Alnus x spaethii 'Spaeth',FRONDOSA
AMLE,Guillomo americano,Amelanchier laevis,ARBUSTO
AMGR,Guillomo híbrido,Amelanchier x grandiflora,ARBUSTO
AGRR,Guillomo híbrido,Amelanchier x grandiflora 'Robin Hill',ARBUSTO
ARUR,Madroño de flor rosa,Arbutus unedo f. rubra,ARBUSTO
BEPY,Abedul de rama arqueada,Betula pendula 'Youngii',FRONDOSA
CAVD,Limpiatubos,Callistemon viminalis 'Dawson River Weeper',ARBUSTO
CAVH,Limpiatubos,Callistemon viminalis 'Hannah Ray',ARBUSTO
CAMI,Carex japonés,Carex morrowii 'Ice Dance',HERB_PERENNES
CABF,Carpe columnar,Carpinus betulus 'Fastigiata',FRONDOSA
CABA,Catalpa común,Catalpa bignonioides 'Aurea',FRONDOSA
CABN,Catalpa de bola,Catalpa bignonioides 'Nana',FRONDOSA
CAOV,Catalpa china,Catalpa ovata,FRONDOSA
CAOP,Catalpa china púrpura,Catalpa ovata 'Purpurea',FRONDOSA
